CUSIP,Issuer,Issue Date,Maturity Date,Coupon Rate,Price,Par Value,Market Value,Rating,Sector
W4HHU1E6O,V6I4HC,2020-1-22,2024-7-7,5.31,115.76,450.49,7640.85,C,Utilities
RUBCJ8YIB,HPJO1V,2015-9-5,2049-12-26,2.8,108.69,253.71,1289.27,CCC,Consumer Staples
1U8BO7QL6,K8EPI9,2011-3-11,2037-11-12,8.4,87.43,127.71,8742.7,BBB,Technology
6MFXXZWUI,M9JMUO,2015-9-16,2026-1-5,7.27,103.75,812.73,9036.36,AA,Energy
E1R24DIOF,RA6S65,1986-8-23,2040-5-19,8.82,91.54,557.44,3999.5,BB,Real Estate
13THZTOJD,CCTD12,2009-2-8,2049-12-6,8.09,115.51,254.33,8466.31,D,Consumer Discretionary
U5DPBCWN5,4URUTE,2010-10-10,2028-3-9,3.62,104.42,278.65,2761.28,CCC,Healthcare
5NW0ZHN8P,H2MVXU,1980-8-11,2050-10-11,4.67,104.17,526.98,8949.56,B,Industrials
0IAJA8HF2,5OGZ9A,1992-2-16,2041-2-15,1.09,113.94,298.73,7755.9,C,Industrials
LQHK63364,PB8IG0,1996-11-11,2033-6-19,7.08,101.76,784.18,4403.17,AAA,Real Estate
D0ZA5FEWE,BPNR21,2017-5-15,2037-3-7,3.08,117.48,358.69,8126.45,BB,Technology
6OVGCQNCW,R4Y1K8,2001-2-2,2030-10-25,3.64,113.25,620.28,1277.8,D,Finance
CCK5YGJFH,HDP03V,2002-5-9,2035-8-5,7.44,94.45,721.09,6422.76,AA,Consumer Staples
44PEZAGJD,TUCYHD,1982-12-24,2049-9-22,2.46,88.78,429.93,5318.42,AA,Materials
G8KDF1LLX,67LSJD,2014-9-7,2037-3-23,1.19,102.4,517.09,1822.77,BB,Technology
J2EZURDM9,H3NOTV,2003-7-27,2032-12-14,7.75,117.27,866.81,2772.63,C,Consumer Staples
M92AILTT4,XT1JGN,1994-9-23,2047-11-24,7.85,85.95,803.97,5387.63,BB,Healthcare
DZD9A8G9K,K4DBOL,2002-9-11,2036-1-14,0.25,119.37,726.3,7640.63,CCC,Healthcare
Q4MVSIFXI,OVC3WI,2012-5-27,2036-3-7,0.11,81.0,493.49,6162.63,B,Real Estate
TCJO1N6YF,HTD9WM,2015-11-25,2048-1-20,5.51,100.57,591.87,6686.05,B,Technology
9MN3MUTGU,T7SGEB,2014-9-27,2030-11-6,7.77,89.58,889.54,5355.59,C,Energy
RDEG5MGMG,RIXUCR,1983-7-26,2032-5-16,4.71,93.33,964.32,7640.69,BB,Consumer Discretionary
30Y4LRTCH,D73ND6,2000-2-22,2028-3-8,7.43,97.79,259.92,4970.55,CC,Consumer Discretionary
JFSOJ9KU2,LP9VTS,2012-2-22,2037-2-25,0.65,85.71,929.61,8586.32,AAA,Finance
L8IQT0792,Z54NUY,1994-5-17,2049-8-8,9.4,84.46,297.79,8354.66,BBB,Consumer Discretionary
OOJ2P9N0U,P9GAC2,1997-4-8,2031-3-3,9.41,86.57,240.01,4193.3,B,Real Estate
4KVAUGK3D,YWYD5A,2007-12-21,2050-9-6,2.03,102.43,748.05,5562.43,CCC,Technology
I5BW12H6A,CDPX3G,2004-4-11,2049-11-14,4.0,118.54,334.62,1535.23,A,Finance
T5WC5SAXO,OFTN58,1999-7-2,2047-2-14,0.3,112.16,414.78,2796.57,D,Healthcare
S6U8VM3QT,2DRU9Q,2008-7-24,2040-6-4,0.88,83.91,484.04,1431.84,CC,Consumer Discretionary
W2MUS8P1J,WDOVLD,2015-10-13,2025-8-22,0.2,90.54,548.1,5419.32,AAA,Healthcare
S4H756JJ1,67ITY8,1984-4-19,2024-9-10,9.08,100.8,164.27,2293.1,B,Real Estate
HOIH8A2MR,MF0DR0,2010-11-28,2024-3-10,6.29,95.98,630.33,5497.9,A,Consumer Discretionary
GF4MVO9LL,PTMP5H,2003-6-27,2036-3-24,9.45,95.85,424.86,5836.79,CCC,Energy
KFXDL10G6,ZQX243,2011-10-8,2047-7-28,0.43,98.61,316.54,5907.07,A,Healthcare
EODXVYRBL,TGD9OD,1995-12-4,2032-6-8,9.04,102.49,488.97,5855.55,CCC,Real Estate
3TF8KM6BQ,GMAKYO,1980-1-9,2028-9-25,6.16,88.57,892.94,8102.01,D,Consumer Staples
6JZUCCQY0,M0N1O7,2000-2-12,2050-8-16,2.04,113.94,962.57,2834.73,BBB,Finance
V2V4C4XNO,7RRQKN,2002-10-14,2030-6-16,3.54,86.05,366.63,2322.34,AA,Real Estate
SRP4VRDI0,JQ5O28,2011-12-26,2033-10-23,8.19,118.93,973.34,6727.7,BB,Healthcare
OTHJ7LNGW,X2CCBY,1981-1-16,2037-2-24,6.4,98.15,824.09,2012.04,BB,Utilities
0Q15Y1EGH,VQI0Z6,2004-11-12,2033-8-9,0.15,102.12,705.58,4136.3,B,Industrials
D20WNGW35,8YO8M3,2001-3-17,2049-11-23,8.07,118.96,824.38,9207.6,BB,Finance
R925K80WS,O5L5M9,2006-4-3,2033-9-26,7.95,116.44,864.51,5940.79,CCC,Healthcare
0YKZBUU5N,FTROCJ,1982-7-19,2046-9-6,2.21,98.87,972.1,7826.19,AAA,Utilities
2X27VLHOB,KTZDB4,2012-12-15,2045-7-23,1.18,88.65,813.21,9381.23,B,Technology
RXF9HCG53,FPS3G3,2013-2-8,2036-3-8,5.76,88.03,541.72,3233.93,B,Industrials
1JG6AWUYI,W824VQ,2014-2-27,2045-4-23,3.24,106.34,947.3,7265.19,BBB,Consumer Staples
JN516I10X,GIB1XD,2021-10-23,2033-9-19,6.38,108.55,992.02,5421.44,D,Technology
EA1L19WMA,WJ0PDT,1991-12-28,2038-8-6,9.26,94.36,543.78,8863.7,B,Healthcare
XPW2SR4B3,3SF7LN,1981-2-20,2031-7-11,6.48,117.88,491.66,6500.89,AAA,Materials
UQCFSW442,G43HC3,1986-8-10,2037-4-6,1.47,117.5,688.43,3703.63,C,Finance
NU2DQUTRX,QEY8S3,2022-6-1,2040-8-27,7.06,108.46,872.33,2370.27,B,Finance
RPOEKAVAR,LTDK9N,1981-3-22,2039-6-17,9.66,107.41,247.01,2559.8,AA,Consumer Discretionary
CASAH4BTZ,CVZRVM,1992-3-14,2040-4-20,9.31,101.52,725.54,2912.52,CCC,Materials
BNCOO0O92,4PY0W8,2003-3-17,2026-12-26,7.74,95.59,394.83,2260.24,C,Materials
V1KL642NK,4KJYBE,2010-3-2,2035-11-19,8.34,113.01,929.32,2337.74,BB,Industrials
DNFBQAWQV,FNL8CD,2004-5-16,2032-12-20,1.37,89.05,424.89,6836.4,BB,Real Estate
CVSJBO1IA,RBUS2J,1993-7-14,2034-11-11,4.5,94.14,480.06,3073.54,AAA,Real Estate
ID4XOVSTA,7T5N09,1981-9-24,2035-8-4,9.21,84.95,263.59,7655.2,CCC,Technology
3RS94C6JY,NDDLM6,1981-8-10,2044-6-5,8.52,118.57,494.13,1017.35,CC,Healthcare
O5UZ10LB9,D6QO19,1986-5-14,2025-5-10,0.61,109.22,584.31,2566.04,B,Technology
25NFUIS2V,J9MXI3,1980-5-23,2033-4-14,2.96,99.87,604.32,9198.45,BBB,Energy
00ZK8JQYG,UR0WD0,2003-8-10,2040-7-21,7.34,106.19,975.0,5359.15,BB,Finance
MV2FH66BI,C559EP,2009-2-9,2041-1-2,8.72,113.14,794.74,2906.29,C,Consumer Discretionary
HQMHEAPQE,OS6S26,2007-11-22,2038-5-4,4.13,109.61,277.51,3850.42,C,Healthcare
5P3S30BBN,9DLU90,2005-8-13,2049-10-28,6.9,98.22,475.82,5262.22,CCC,Finance
5JDHXFZAC,GKK6LF,2023-6-5,2026-4-26,8.36,91.23,605.93,1916.72,CC,Utilities
XTZUL3I0D,631UGK,2008-11-7,2037-4-11,9.75,81.61,207.36,7478.82,BBB,Consumer Discretionary
9GP1QWNIK,PSZX9L,2005-8-11,2044-3-25,0.99,116.54,380.45,1205.54,B,Consumer Discretionary
YGM4QSWKL,JHJ9U5,1999-10-16,2046-10-10,3.8,109.39,888.72,4620.23,B,Industrials
QRQUC3WMY,RRD4ZS,2014-5-3,2047-2-9,2.99,100.38,545.29,7176.17,BBB,Utilities
DARJ6Z69A,GVXY6B,1983-6-10,2026-5-3,6.86,102.22,797.17,6808.11,BB,Finance
54OJ4N79M,QLUK9W,1992-2-28,2024-10-20,6.11,108.33,634.61,9797.51,BBB,Utilities
Q4T9SCGBE,7C40JH,2023-3-6,2034-4-24,3.83,85.69,836.04,7669.79,BBB,Finance
I5NIHNEY3,38VWD7,1983-10-6,2045-9-13,0.99,104.4,177.96,2036.63,CC,Industrials
NJ7CKM3G8,3BOUZX,2023-10-15,2024-3-20,3.01,91.8,449.9,1809.16,A,Materials
HO1OGU2Z3,WCU9S6,1994-8-4,2050-7-4,0.31,105.52,734.59,1824.57,B,Utilities
BV5ED1SHK,ES9Z3A,1999-6-6,2036-7-1,9.54,103.9,182.13,2316.84,C,Utilities
OG2TXBF63,5DDM4Q,1986-10-13,2047-2-7,9.31,85.53,562.39,9232.57,C,Materials
V0CQ6X3HZ,IEN5W8,2015-6-7,2047-8-9,7.52,101.23,279.82,7560.71,D,Finance
4FTYXLJFG,V1DSDV,1988-3-17,2046-12-23,2.15,109.13,899.41,8541.37,B,Real Estate
0UK0QK1TA,W0B9X3,1993-12-7,2031-7-23,0.85,119.25,344.06,9265.79,C,Energy
W1ECQA6AW,CR49S0,1996-2-15,2044-6-7,9.9,111.17,232.99,3957.77,AAA,Real Estate
MIK2XCRT5,21SFOD,2017-7-23,2029-11-7,6.75,118.92,699.37,6756.55,B,Consumer Staples
XNO9V5U86,61WL1T,2015-10-26,2026-5-8,1.11,119.89,260.66,6141.57,C,Real Estate
1X2EWT6ZS,K58SJ2,1995-6-17,2046-6-20,4.24,86.77,772.36,3239.6,BBB,Utilities
26L13AJOF,UEJ5FR,1985-8-7,2036-12-11,7.03,106.36,300.81,7131.01,B,Materials
HY0J56R3B,6DF51N,2020-8-23,2043-5-2,6.8,115.76,180.19,5031.24,BB,Consumer Discretionary
DD6BBGYSX,NFAL1Y,1987-8-21,2029-1-18,6.14,98.76,814.22,8293.89,CCC,Industrials
3CIUP7UF5,WELBPR,1995-5-19,2047-4-11,9.15,88.59,649.24,7164.35,D,Finance
LEKLNF384,EJ12Y2,1990-10-19,2037-12-24,5.49,92.46,343.3,6814.23,BBB,Technology
Y5YWDBDIW,IJT4DH,1989-6-11,2027-6-9,1.55,108.32,825.52,6016.53,BB,Technology
TS2PCIB8B,FFOW6K,1990-5-15,2033-5-9,1.09,85.19,826.99,8334.79,AA,Healthcare
OBK3CGJOU,XP7QCW,1991-1-9,2049-11-22,3.33,100.18,167.44,6188.0,BBB,Consumer Discretionary
8KGK2BVYJ,FA1WCE,1983-4-7,2030-5-19,7.57,110.39,303.02,8029.18,BB,Consumer Staples
G9T4D6SRM,8UZD5H,2023-2-2,2025-3-22,5.21,85.35,878.51,1706.51,B,Materials
P6KYYMYYC,5DTUIU,1987-9-8,2041-10-10,4.55,113.51,436.32,9530.86,BB,Consumer Staples
IMN6NKMFM,Z7VHFM,1996-8-6,2047-8-25,7.55,89.06,266.55,6134.46,B,Consumer Staples
CQW0N9PUF,TIE4KZ,1989-12-4,2043-12-10,7.6,111.31,883.58,2974.19,CCC,Consumer Staples
NYOAPNTB9,S9TP8M,2001-10-5,2034-9-13,4.42,82.27,619.85,5861.46,AAA,Utilities
A062RJWT5,2ZQTLI,2013-5-17,2025-5-13,9.23,98.4,321.09,6309.39,BBB,Technology
JUHJZ1M5B,I5S9Z5,1981-4-2,2047-2-1,8.73,87.28,716.02,4656.72,C,Industrials
5SMT9K1HF,HHXCZS,1994-12-1,2049-8-3,9.05,110.73,929.6,4538.88,BBB,Healthcare
7BOS7Y2BO,BAGGPG,2020-3-8,2041-10-13,3.14,114.35,438.45,9143.46,A,Real Estate
JACR9Q1PC,5LSD7K,1990-3-28,2024-8-6,8.41,93.78,374.25,8392.9,A,Industrials
YC2LIGPGL,OLJFQ3,1987-12-3,2029-5-25,0.8,104.55,487.78,9116.92,CC,Technology
7GIDCHMVW,WRPG71,2007-1-20,2026-9-13,5.04,118.94,661.82,4354.6,AA,Energy
N1PLEX4VG,YSRW1M,1980-11-12,2028-3-5,5.86,81.29,351.61,4206.35,BBB,Technology
5PYHURQV6,TXHWCY,2002-3-5,2044-12-14,3.86,118.11,708.1,2151.99,C,Healthcare
25Z81ESM1,KTCEJB,2011-4-4,2050-12-19,8.31,115.21,593.15,5529.5,BBB,Finance
O3BYEJP15,SJZ1QE,1981-9-15,2030-1-21,0.59,110.45,877.66,7329.91,AAA,Real Estate
193B77TLG,WOZ3PN,1982-1-2,2046-1-28,7.44,82.29,225.41,9161.58,AAA,Industrials
UHN01WBHW,6RIP4N,1998-10-13,2047-2-14,2.2,88.13,889.5,4335.2,CCC,Materials
V4RCKBU2V,L69S2T,2014-6-17,2050-1-27,1.75,88.0,678.47,5754.74,CCC,Consumer Staples
PUQA5O6Z6,20M6QG,1998-4-6,2041-3-10,0.45,87.98,297.4,2616.68,C,Industrials
OKIXODORF,EBRBDO,1988-9-14,2048-10-3,6.84,94.21,588.11,5489.84,D,Consumer Discretionary
A1FAUAWRZ,ORLBYB,2019-10-17,2033-9-24,9.28,115.96,973.97,3173.66,BBB,Consumer Discretionary
4XDTKSCLN,QLEDZU,2003-5-5,2038-2-11,6.46,89.35,611.2,5749.43,AA,Consumer Staples
C776P56NB,895I8I,2023-3-9,2032-10-25,3.73,111.2,745.26,9709.65,CC,Technology
I8952P8W8,21FPCP,2010-12-1,2046-3-23,6.67,107.82,334.39,4600.9,AAA,Industrials
A3TIY6EC1,Q8THQP,1989-6-14,2028-7-15,2.67,104.55,366.49,4710.31,BBB,Finance
7T1SLSEAB,2UX4CV,2021-7-18,2040-9-8,2.37,100.07,816.05,4557.25,B,Real Estate
MEGLKU4O6,12HEB9,2015-7-6,2037-5-1,5.49,114.1,563.78,5274.85,A,Materials
T53HTH8Q6,YC4EOM,1992-2-28,2049-2-9,1.15,87.73,951.49,7814.59,A,Finance
9CFHO286U,LRLY17,1996-11-24,2032-8-11,2.86,88.49,261.1,2080.46,BB,Energy
37Y4SPZGH,K1YRS2,2005-7-21,2024-10-21,0.69,86.19,996.72,7883.77,BBB,Healthcare
HZAELVDR7,32X4QH,1997-6-5,2025-2-17,6.06,88.85,239.76,7470.17,D,Healthcare
XBEEH4BI6,6G2UQB,1990-2-13,2046-1-10,3.19,107.78,212.86,9037.56,D,Industrials
RIAAVC63Z,QI032C,2000-2-18,2041-5-11,0.41,84.39,989.3,3602.35,D,Finance
9NPHLLYSO,IBWKSS,1988-3-10,2025-12-6,9.19,91.86,620.71,5244.06,D,Real Estate
K3IZYIM02,88FZN7,2021-2-25,2038-2-14,8.05,101.18,307.55,9217.41,B,Consumer Staples
MOQZL1A9X,RGK001,1981-4-28,2047-5-14,3.09,109.57,673.39,5832.39,C,Utilities
K79QC2JTI,DKXMNL,1995-4-28,2029-11-26,2.68,104.31,414.22,4009.3,BB,Finance
9RTDK80TL,H7LL9X,1981-7-7,2042-11-3,8.37,119.19,333.3,9167.71,CC,Industrials
NVLLSOPPB,ZD7VD0,2003-10-16,2028-8-25,4.13,105.4,924.95,3436.52,C,Utilities
IEQDXKNWL,D6O09C,1982-6-21,2037-1-25,8.58,100.97,553.51,8163.47,BBB,Utilities
STHEALOYB,J19X1Z,1982-7-5,2029-6-17,6.27,97.12,503.49,8044.33,CCC,Finance
YIVNPKMQ1,XNYJXM,2014-7-3,2048-1-19,3.35,112.32,552.76,3002.87,AA,Industrials
1TOB316T5,RFVNCB,1982-9-20,2038-8-6,0.22,106.94,616.77,7118.38,D,Industrials
I0OMOVTG5,1NESYX,1988-5-16,2046-7-25,8.82,113.47,397.6,5615.84,C,Consumer Discretionary
1TXTNBJPP,HBP1TR,1993-5-12,2038-4-8,4.65,92.88,546.41,1435.59,BB,Healthcare
